Region,Year,Month,SoilTemperature-10,SoilTemperature-30,SoilTemperature-50,Rainfall,Temperature,Min Temperature,Max Temperature,Humidity,Sunshine,Wind Speed,Surface Pressure,Solar Radiation
0,2015,12,21.73,22.90,23.73,6.00,19.75,15.53,26.35,89.06,3.48,1.69,101507.83,155.26
0,2016,1,19.13,20.10,20.95,0.00,18.26,12.86,25.82,85.71,4.00,1.84,101516.03,180.19
0,2016,2,23.61,23.46,23.50,97.00,23.79,19.06,30.27,86.48,4.73,1.78,101379.96,196.51
0,2016,3,27.32,27.06,26.92,43.00,27.03,22.24,33.25,84.94,6.10,2.18,101093.32,232.37
0,2016,4,30.64,30.27,29.86,16.00,30.21,26.90,34.91,80.53,7.20,4.47,100573.31,232.33
0,2016,5,30.55,30.60,30.40,351.00,29.01,25.59,33.98,82.58,6.11,2.92,100426.10,220.72
0,2016,6,30.84,30.70,30.65,352.00,29.36,26.69,33.05,76.63,5.80,2.99,100281.38,186.57
0,2016,7,29.93,30.11,30.19,439.00,28.24,26.12,31.55,79.23,2.91,3.48,100196.63,141.71
0,2016,8,30.23,30.41,30.28,620.00,28.72,26.21,32.04,76.48,4.59,3.44,100101.89,163.55
0,2016,9,30.76,30.69,30.74,148.00,28.84,26.17,32.67,86.10,5.27,2.32,100443.73,174.04
0,2016,10,29.84,30.09,30.17,81.00,27.70,24.59,32.29,87.45,5.57,1.90,100703.87,170.34
0,2016,11,25.29,26.28,26.99,75.00,23.02,18.76,29.45,90.17,6.74,1.78,101134.68,170.73
0,2016,12,21.85,22.86,23.75,0.00,19.95,15.11,27.42,89.03,5.37,1.90,101316.27,175.86
0,2017,1,19.63,20.44,21.20,0.00,18.15,12.04,26.61,88.39,7.68,2.44,101435.32,200.40
0,2017,2,22.67,22.73,22.65,2.00,22.13,15.83,30.08,86.18,7.80,2.16,101336.90,221.28
0,2017,3,25.93,25.63,25.30,59.00,25.17,20.53,30.94,83.58,6.28,2.49,100991.55,216.95
0,2017,4,29.44,28.68,28.15,128.00,28.20,24.36,33.08,84.73,6.08,3.81,100692.85,221.92
0,2017,5,31.77,31.05,30.16,173.00,30.04,26.10,34.92,79.35,7.33,2.64,100474.26,232.58
0,2017,6,31.17,30.77,30.29,376.00,29.18,26.39,32.93,76.97,4.50,3.61,100082.57,174.76
0,2017,7,30.34,30.24,29.95,668.00,28.35,26.29,31.39,82.03,2.49,3.45,100104.92,151.94
0,2017,8,30.54,30.31,30.70,313.00,28.81,26.45,32.46,79.81,3.77,2.96,100252.77,170.28
0,2017,9,30.25,30.24,30.64,183.00,28.53,26.01,32.73,80.97,3.60,2.10,100534.90,159.54
0,2017,10,28.50,28.90,29.80,314.00,27.11,24.22,31.53,90.42,5.60,2.41,100773.82,165.28
0,2017,11,25.46,26.08,26.52,19.00,23.32,18.56,30.39,92.47,6.87,2.05,101145.84,184.85
0,2017,12,22.52,23.41,24.00,51.00,20.16,15.49,26.91,91.71,5.78,1.91,101385.73,162.14
0,2018,1,18.49,19.59,20.66,0.00,16.18,10.25,24.95,91.10,7.17,2.06,101271.12,190.00
0,2018,2,22.36,22.28,22.29,0.00,22.45,16.74,30.06,85.82,6.77,1.80,101287.68,218.10
0,2018,3,26.86,26.38,25.83,2.00,26.59,21.36,33.21,83.74,7.38,2.25,100948.90,245.78
0,2018,4,28.65,28.66,28.03,82.00,27.58,22.65,33.51,86.67,7.49,2.36,100804.22,238.57
0,2018,5,29.46,29.48,29.29,208.00,27.94,24.57,32.92,80.58,5.87,2.85,100570.34,197.99
0,2018,6,30.65,30.48,30.28,265.00,29.22,26.26,33.23,76.13,4.55,2.98,100019.96,172.97
0,2018,7,30.62,30.58,30.47,271.00,28.70,26.45,31.67,73.71,3.64,3.78,99919.94,171.87
0,2018,8,30.85,30.59,30.48,100.00,29.06,26.53,32.56,80.29,5.61,3.47,100004.24,176.78
0,2018,9,30.89,30.63,30.47,106.00,29.28,26.45,33.68,85.63,5.91,2.57,100586.69,191.54
0,2018,10,27.81,28.07,28.06,36.00,26.38,22.68,31.54,86.06,6.17,1.79,101087.18,178.00
0,2018,11,24.21,24.83,25.29,0.00,22.90,17.92,30.22,88.33,7.39,1.50,101315.82,188.51
0,2018,12,20.41,21.41,22.28,3.00,18.03,12.63,26.03,85.23,5.75,2.36,101438.83,166.61
0,2019,1,18.77,19.67,20.40,0.00,17.52,10.61,27.13,84.03,6.63,2.31,101561.11,199.58
0,2019,2,21.60,21.81,21.81,172.00,20.74,14.71,28.77,85.07,5.44,2.28,101389.59,209.06
0,2019,3,26.02,25.55,25.05,82.00,25.51,20.11,32.01,82.97,7.75,2.08,101104.92,235.07
0,2019,4,29.27,28.77,28.02,53.00,28.43,23.76,34.00,82.83,8.93,2.50,100799.19,244.04
